USNVC CODE,Association Name,WH,WRC,DF,GF,SP,WWP,RA,BLM,Madrone,Oak,Birch,Ash,Cottonwood,PP,Willow,SS,Juniper,Salal,T. Oregon Grape,D. Oregon Grape,EG Huckleberry,R Huckleberry,Sword Fern,B. fern,Snowberry,Salmonberry,Elderberry,Rose,Oceanspray,Trailing blackberry,Rhody,Beaked Hazelnut,Thimbleberry,Hairy Honeysuckle,In Plum,Grasses,Devil's club,Nettle,Bedstraw,Oregon Oxalis (sorrel),Rush/Sedge,RCG,Scotch Broom,Eng Holly
CEGL002616,Douglas fir-grand fir/beaked hazelnut/sword fern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL002616,Douglas fir/beaked hazelnut/sword fern-threeleaf foamflower,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL002845,"Douglas-fir-(Grand fir, western red cedar)/dwarf Oregongrape-salal",400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL002846,Western red cedar-bigleaf maple-grand fir/(Indian plum)/western sword fern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL002848,Western red cedar-Douglas-fir-grand fir/dwarf Oregongrape/western sword fern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL002848,Western red cedar-Douglas-fir-grand fir/dwarf oregongrape/western sword fern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL002896,Willow wet shrubland,1,1,1,1,1,1,2,1,1,1,1,1,1,1,80,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1
CEGL003299,Oregon white oak-(Oregon ash)/common snowberry,400,70,50,60,25,24,30,30,2,54,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003313,Sough sedge Wet Meadow,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003317,Soft rush Pacific Coast Wet Meadow,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003334,Bigleaf maple-red alder/sword fern-fringecup,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003348,Ponderosa pine/long-stolon sedge-Roemer's fescue,1,1,1,1,1,1,1,1,1,1,1,1,1,80,1,1,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,15,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003350,Douglas fir-grand fir/western fescue,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003352,Paper birch-red alder/sword fern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003354,Oregon white oak/oval-leaf viburnum/poison oak,400,70,50,60,25,24,30,30,2,54,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003358,Oregon white oak/common snowberry/long-stolon sedge,400,70,50,60,25,24,30,30,2,54,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003360,Western white pine/bog labrador-tea/peatmoss species Tree Bog,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003363,Black cottonwood-bigleaf maple/common snowberry,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003389,Red alder/salmonberry/slough sedge-skunk cabbage,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003392,Oregon ash/Douglas spiraea,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003393,Oregon ash/snowberry,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003399,Red alder/devil's club-salmonberry,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003407,Black cottonwood-red alder/salmonberry,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003409,Pacific willow/California nettle,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003417,Western hemlock-(Western red cedar)/peatmoss species,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL003787,Sitka Spruce-western hemlock/western sword fern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005524,Sitka Spruce/salal,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005526,Sitka Spruce-Douglas-fir/salal,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005529,Sitka Spruce-western hemlock-(red alder)/devil's club/sword fern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005530,Sitka Spruce-western hemlock/western sword fern-redwood sorrel,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005531,Douglas fir/salal-oceanspray,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005532,Douglas fir/salal-red huckleberry,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005534,"Douglas fir-(Red Alder, Western Hemlock)/Salmonberry ",400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005536,Douglas fir-western hemlock/salal/sword fern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005537,Douglas fir-western hemlock/salal-oceanspray,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005538,Douglas fir-western hemlock/salal-dwarf Oregongrape,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005539,Douglas fir-western hemlock/salal-red huckleberry,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005540,Douglas fir-western hemlock/oceanspray/sword fern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005541,Douglas fir-western hemlock/dwarf Oregongrape,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005543,Douglas fir-western hemlock/dwarf Oregongrape-sword fern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005544,Douglas fir-western hemlock/Pacific rhododendron,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005545,Western hemlock/salal,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005546,Western hemlock/rhododendron-dwarf oregongrape,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005559,Western hemlock/sword fern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005570,Western hemlock/dwarf oregongrape,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL005576,Western hemlock-Douglas fir/sword fern-spreading woodfern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL007306,Sitka Spruce/evergreen hucklberry,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL007317,Lodgepole pine-Doulgas fir/dwarf oregongrape,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL007331,Douglas fir-grand fir/salal,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL007337,Douglas fir-western hemlock/cutleaf foamflower,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL007358,Douglas fir/beaked hazelnut/common snowberry (trailing snowberry)/sword fern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL007382,Douglas fir/snowberry-serviceberry,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL007385,Douglas fir-grand fir/oceanspray/sword fern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CTWA000008,Douglas fir-Pacific madrone/evergreen huckleberry,400,70,50,60,25,24,30,30,70,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
