USNVC CODE,Association Name,WH,WRC,DF,GF,SP,WWP,RA,BLM,Madrone,Oak,Birch,Ash,Cottonwood,PP,Willow,SS,Juniper,Salal,T. Oregon Grape,D. Oregon Grape,EG Huckleberry,R Huckleberry,Snowberry,Salmonberry,Elderberry,Rose,Oceanspray,Trailing blackberry,Rhody,Beaked Hazelnut,Thimbleberry,Hairy Honeysuckle,In Plum,Sword Fern,B. fern,Grasses,Devil's club,Nettle,Bedstraw,Oregon Oxalis (sorrel),Rush/Sedge,RCG,Scotch Broom,Eng Holly
CEGL000460,Douglas fir/oceanspray-common snowberry,13,25,100,13,100,100,100,100,25,100,100,100,100,100,100,100,100,100,63,50,100,100,100,100,100,88,100,88,100,100,100,63,100,75,100,69,100,100,100,100,100,100,100,100
CEGL000468,Western red cedar-grand fir/sword fern,20,100,90,80,100,100,50,60,100,100,100,100,100,100,100,100,100,60,100,100,100,60,70,40,100,60,60,60,100,100,40,100,30,100,60,100,100,100,60,100,100,100,100,100
CEGL000469,Western red cedar/Vine maple,100,100,33,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,67,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CEGL000497,Douglas fir-western red cedar/Oregon oxalis,86,100,100,43,100,100,100,71,100,100,100,100,100,100,100,100,100,57,100,43,100,71,100,43,71,100,100,57,100,43,100,100,43,100,100,100,14,100,57,100,100,100,100,100
CEGL000497,Western red cedar-western hemlock/devils club/sword fern,86,100,86,100,100,100,29,86,100,100,100,100,100,100,100,100,100,100,100,100,100,71,100,86,71,100,100,57,100,100,100,100,57,100,100,43,100,100,100,100,100,100,100,100
CEGL000548,Oregon white oak/long-stolon sedge-(common camas),100,100,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,73,100,100,100,73,100,100,100,100,100,100,100,100,20,33,100,100,51,100,100,100,100,100,100,67,100
CEGL000638,Red alder/sword fern,80,100,40,20,100,100,100,20,100,100,100,100,100,100,100,100,100,100,100,40,100,80,100,100,60,100,40,80,100,100,100,100,100,100,60,70,100,60,60,100,100,100,100,100
CEGL000639,Red alder/salmonberry,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,70,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100
CEGL000640,Oregon ash/slough sedge,100,100,100,100,100,100,100,100,100,100,100,100,11,100,100,100,100,100,100,100,100,100,28,100,100,33,100,67,100,22,100,100,100,33,100,100,100,100,100,100,100,100,100,100
CEGL000883,Ponderosa pine-Oregon white oak/Bitterbrush,100,100,44,100,100,100,100,100,100,88,100,100,100,100,100,100,100,100,100,100,100,100,44,100,100,100,100,100,100,100,100,100,100,100,100,52,100,100,100,100,100,100,100,100
CEGL000884,Ponderosa pine-Oregon white oak/Common snowberry Woodland,100,100,100,100,100,100,100,100,100,67,100,100,100,93,100,100,100,100,100,100,100,100,40,100,100,27,100,100,100,100,100,100,100,100,100,38,100,100,100,100,100,100,100,100
CEGL000929,Oregon white oak-Douglas fir/common snowberry/sword fern,100,100,90,5,100,100,100,30,100,100,100,40,100,100,100,100,100,100,90,100,100,100,100,100,100,70,55,95,100,70,100,65,85,95,100,55,100,100,45,100,100,100,100,100
CEGL001714,Oregon white oak/Roemer's fescue,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CEGL002614,Douglas fir-western hemlock/evergreen huckleberry,89,82,100,100,100,45,100,100,100,100,100,100,100,100,100,100,100,97,100,53,100,42,100,100,100,100,100,32,16,100,100,100,100,37,68,100,100,100,100,100,100,100,100,100
CEGL002615,Douglas fir-western hemlock/Pacific rhododendron-evergreen huckleberry,86,79,100,100,100,50,100,100,14,100,100,100,100,100,100,100,100,96,100,54,100,43,100,100,100,100,18,100,100,100,100,100,100,32,43,100,100,100,100,100,100,100,100,100
CEGL002616,Douglas fir-grand fir/beaked hazelnut/sword fern,50,33,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,83,100,67,100,100,50,50,33,100,100,100,17,100,33,100,100,39,100,100,100,100,100,100,100,67
CEGL002616,Douglas fir/beaked hazelnut/sword fern-threeleaf foamflower,33,100,100,100,100,100,100,67,100,100,100,100,100,100,100,100,100,100,44,89,100,78,100,33,78,89,100,89,100,100,100,100,78,100,67,70,100,44,100,100,100,100,100,44
CEGL002845,"Douglas-fir-(Grand fir, western red cedar)/dwarf Oregongrape-salal",52,97,100,72,100,100,100,100,100,100,100,100,100,100,31,100,100,93,100,59,100,55,100,100,100,72,76,31,100,100,100,41,100,79,100,43,100,100,100,100,100,100,100,100
CEGL002846,Western red cedar-bigleaf maple-grand fir/(Indian plum)/western sword fern,100,87,48,87,100,100,65,87,100,100,100,100,100,100,100,100,100,26,100,35,100,43,78,100,30,22,39,96,100,100,30,100,78,96,100,100,100,100,100,100,100,100,100,100
CEGL002848,Western red cedar-Douglas-fir-grand fir/dwarf Oregongrape/western sword fern,75,100,100,56,100,100,100,38,100,100,100,100,100,100,100,100,100,88,100,75,100,75,100,100,100,56,69,69,100,100,100,50,31,100,31,43,100,100,56,100,100,100,100,31
CEGL002848,Western red cedar-Douglas-fir-grand fir/dwarf oregongrape/western sword fern,24,86,90,71,100,100,100,67,100,100,100,100,100,100,100,100,100,90,100,100,100,76,24,95,100,86,62,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CEGL002896,Willow wet shrubland,100,100,100,100,100,100,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,12,100,100,100,15,100,100,100,100,100,100,100,100,100,30,100,100,100,20,100,100
CEGL003299,Oregon white oak-(Oregon ash)/common snowberry,100,100,100,100,100,100,100,100,100,100,100,52,100,100,100,100,100,100,62,100,100,100,100,100,100,100,100,52,100,14,100,43,90,48,100,28,100,100,100,100,100,100,100,100
CEGL003313,Sough sedge Wet Meadow,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CEGL003317,Soft rush Pacific Coast Wet Meadow,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,67,100,100,100,100,100
CEGL003334,Bigleaf maple-red alder/sword fern-fringecup,17,33,50,100,100,100,83,94,100,100,100,100,100,100,100,100,100,100,100,39,100,100,33,56,11,33,67,100,100,33,61,100,44,100,100,53,100,67,100,100,100,100,100,100
CEGL003348,Ponderosa pine/long-stolon sedge-Roemer's fescue,100,100,100,100,100,100,100,100,100,40,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,40,66,100,100,100,100,100,100,100,100
CEGL003350,Douglas fir-grand fir/western fescue,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,33,100,100,50,100,100,100,50,50,100,100,100,83,100,67,67,75,100,100,67,100,100,100,100,100
CEGL003352,Paper birch-red alder/sword fern,40,40,80,60,100,100,80,60,100,100,100,100,60,100,100,100,100,100,100,40,100,100,100,100,80,100,40,60,100,100,100,40,100,100,40,60,100,100,100,100,100,100,100,100
CEGL003354,Oregon white oak/oval-leaf viburnum/poison oak,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,79,100,100,100,100,100,100,64,93,71,100,100,100,100,86,100,100,50,100,100,100,100,100,100,100,100
CEGL003358,Oregon white oak/common snowberry/long-stolon sedge,100,100,38,100,100,100,100,100,10,100,100,29,100,100,100,100,100,100,86,100,100,100,95,100,100,100,29,43,100,14,100,100,48,19,100,71,100,100,100,100,100,100,76,100
CEGL003360,Western white pine/bog labrador-tea/peatmoss species Tree Bog,3,100,15,100,30,100,100,100,100,100,100,100,100,100,100,100,100,70,100,100,100,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100
CEGL003363,Black cottonwood-bigleaf maple/common snowberry,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,60,15,100,30,100,100,100,100,100,100,100,100,100,100,100,40,100,100,100,100,100,100
CEGL003389,Red alder/salmonberry/slough sedge-skunk cabbage,8,8,100,100,100,100,100,100,100,100,100,100,100,100,12,1,100,12,100,100,100,100,100,100,100,100,100,15,100,100,100,100,100,15,100,100,100,100,100,100,100,100,100,100
CEGL003392,Oregon ash/Douglas spiraea,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,25,100,100,100,100,100,100,100,100
CEGL003393,Oregon ash/snowberry,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,50,100,100,100,100,100
CEGL003399,Red alder/devil's club-salmonberry,100,100,100,100,100,100,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,55,100,100,100,100,100,100,100,100,100,100,100,100,100,70,100,100,100,100,100,100
CEGL003407,Black cottonwood-red alder/salmonberry,100,100,100,100,100,100,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,45,100,100,100,100,100,100,100,100,100,100,100,100,100,50,20,100,100,100,100,100
CEGL003409,Pacific willow/California nettle,100,100,100,100,100,100,100,100,100,100,100,17,100,100,100,100,100,100,100,100,100,100,100,100,17,100,100,100,100,100,100,100,100,100,100,100,100,33,100,100,100,83,100,100
CEGL003417,Western hemlock-(Western red cedar)/peatmoss species,100,15,100,100,80,20,100,100,100,100,100,100,100,100,100,10,100,70,100,100,100,7,100,100,100,100,100,100,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CEGL003787,Sitka Spruce-western hemlock/western sword fern,10,100,65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,1,100,1,100,100,100,100,100,100,100,100,100,25,100,100,100,100,100,100,100,100,100,100
CEGL005524,Sitka Spruce/salal,5,15,100,100,20,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,10,1,100,100,100,100,100,100,100,100,100,100,100,10,100,100,100,100,100,100,100,100,100,100
CEGL005526,Sitka Spruce-Douglas-fir/salal,83,50,100,100,100,100,17,100,100,100,100,100,100,100,100,82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CEGL005529,Sitka Spruce-western hemlock-(red alder)/devil's club/sword fern,100,33,87,100,100,100,33,100,100,100,100,100,100,100,100,93,100,40,100,7,100,100,100,93,47,100,100,100,100,100,20,100,100,100,20,100,100,100,100,100,100,100,100,100
CEGL005530,Sitka Spruce-western hemlock/western sword fern-redwood sorrel,100,30,100,100,100,100,15,19,100,100,100,100,100,100,100,100,100,46,100,100,100,80,100,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CEGL005531,Douglas fir/salal-oceanspray,26,17,100,14,23,100,100,100,31,100,100,100,100,100,100,100,100,100,40,89,20,49,24,100,100,97,89,74,100,31,100,39,100,77,60,43,100,100,100,100,100,100,100,100
CEGL005532,Douglas fir/salal-red huckleberry,26,17,100,14,23,100,100,100,31,100,100,100,100,100,100,100,100,100,40,89,20,89,24,100,100,97,30,74,100,31,100,39,100,77,60,43,100,100,100,100,100,100,100,100
CEGL005534,"Douglas fir-(Red Alder, Western Hemlock)/Salmonberry ",67,40,93,100,100,100,70,13,100,100,100,100,100,100,100,20,100,33,100,45,23,73,100,100,13,100,7,10,7,100,30,100,100,97,17,100,10,100,100,100,100,100,100,100
CEGL005536,Douglas fir-western hemlock/salal/sword fern,88,84,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,81,100,91,100,100,100,72,72,94,100,53,100,34,100,100,81,1.5,100,100,72,100,100,100,100,100
CEGL005537,Douglas fir-western hemlock/salal-oceanspray,100,85,100,54,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,62,100,62,100,100,100,54,100,62,100,100,100,38,100,69,77,46,100,100,100,100,100,100,100,100
CEGL005538,Douglas fir-western hemlock/salal-dwarf Oregongrape,79,57,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,86,100,93,100,100,100,57,43,64,100,100,100,100,100,71,71,100,100,100,100,100,100,100,100,100
CEGL005539,Douglas fir-western hemlock/salal-red huckleberry,79,57,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93,100,86,100,100,100,57,43,64,100,100,100,100,100,71,71,100,100,100,100,100,100,100,100,100
CEGL005540,Douglas fir-western hemlock/oceanspray/sword fern,73,27,100,55,100,100,27,100,100,100,100,100,100,100,100,100,100,45,100,73,100,36,73,100,64,91,100,100,100,18,100,64,45,100,82,50,100,100,100,100,100,100,100,100
CEGL005541,Douglas fir-western hemlock/dwarf Oregongrape,94,41,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,82,100,47,100,100,100,35,100,100,100,100,100,100,100,47,41,35,100,100,100,100,100,100,100,100
CEGL005543,Douglas fir-western hemlock/dwarf Oregongrape-sword fern,87,82,100,22,100,100,100,60,100,100,100,100,100,100,100,100,100,73,100,100,100,80,100,100,100,40,100,78,100,42,100,100,100,100,49,33,100,100,62,100,100,100,100,100
CEGL005544,Douglas fir-western hemlock/Pacific rhododendron,71,93,100,100,100,100,100,100,29,100,100,100,100,100,100,100,100,100,100,86,50,50,100,100,100,43,57,29,100,100,100,100,100,21,21,100,100,100,100,100,100,100,100,100
CEGL005545,Western hemlock/salal,89,44,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,100,98,100,86,100,100,100,50,100,79,40,100,100,100,100,86,64,100,100,100,100,100,100,100,100,100
CEGL005546,Western hemlock/rhododendron-dwarf oregongrape,96,51,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,49,100,100,100,74,100,100,100,100,100,54,100,100,100,100,100,54,100,100,100,100,100,100,100,100,100,100
CEGL005559,Western hemlock/sword fern,93,69,97,100,100,100,100,51,100,100,100,100,100,100,100,100,100,50,100,86,100,73,100,100,100,100,100,53,100,100,100,100,100,100,100,100,100,100,47,100,100,100,100,100
CEGL005570,Western hemlock/dwarf oregongrape,83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,52,75,100,100,89,30,77,100,100,100,100,100,70,100,100,100,100,47,100,100,100,100,100
CEGL005576,Western hemlock-Douglas fir/sword fern-spreading woodfern,96,81,100,32,100,100,44,73,100,100,100,100,100,100,100,100,100,46,100,54,100,86,100,48,60,100,100,68,100,29,100,100,100,100,38,21,100,100,100,100,100,100,100,100
CEGL007306,Sitka Spruce/evergreen hucklberry,21,21,43,100,36,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,35,43,100,100,100,100,21,79,100,100,100,100,100,100,100,100,100
CEGL007317,Lodgepole pine-Doulgas fir/dwarf oregongrape,83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33,33,100,100,100,100,100,100,100,33,100,100,100,100,100,100,100,100,33,100,100,100,100,100,100,100,100
CEGL007331,Douglas fir-grand fir/salal,100,40,100,100,100,100,100,100,100,100,100,100,100,100,60,100,100,100,100,100,100,100,30,100,100,90,100,60,100,100,100,40,100,60,60,60,100,100,30,100,100,100,100,100
CEGL007337,Douglas fir-western hemlock/cutleaf foamflower,100,25,100,19,100,100,44,100,100,100,100,100,100,100,100,100,100,100,100,56,100,100,100,100,100,81,38,100,100,100,100,100,100,75,88,38,100,44,75,100,100,100,100,100
CEGL007358,Douglas fir/beaked hazelnut/common snowberry (trailing snowberry)/sword fern,100,100,100,100,100,100,100,65,100,100,100,100,100,100,100,100,100,44,62,68,100,56,73,100,100,88,71,97,100,94,100,79,71,100,50,82,100,100,100,100,100,100,100,100
CEGL007382,Douglas fir/snowberry-serviceberry,100,100,100,100,100,100,100,40,100,67,100,100,100,100,100,100,100,100,87,57,100,100,93,100,100,77,53,93,100,73,100,80,80,100,30,59,100,100,100,100,100,100,50,100
CEGL007385,Douglas fir-grand fir/oceanspray/sword fern,29,100,100,100,100,100,100,100,100,100,100,100,100,100,100,14,100,100,57,29,100,100,100,100,100,100,100,86,100,100,100,71,43,100,43,74,100,100,71,100,100,100,100,100
CTWA000008,Douglas fir-Pacific madrone/evergreen huckleberry,33,22,100,100,100,100,100,100,100,100,100,100,100,100,44,100,100,100,100,56,100,56,44,100,100,56,78,100,100,78,100,78,100,67,100,100,100,100,100,100,100,100,100,100
